,date,organization,text,neg,neu,pos,compound
0,2018-04-05,BBC,"? Could building walkways in nature help save these big cats?
#BigCatsAboutTheHouse https://t.co/NdkxCDBpee",0.0,0.629,0.371,0.7096
1,2018-04-05,BBC,"?? Pocket-friendly recipes for two.
? https://t.co/CzuDNQNw3B https://t.co/xbrrmlIgNF",0.0,1.0,0.0,0.0
2,2018-04-05,BBC,"? From illegal ivory to taxidermy, take a peek inside the banned wildlife room at Heathrow Airport. https://t.co/8yIok0eobX",0.32,0.68,0.0,-0.765
3,2018-04-05,BBC,RT @bbccomedy: Smithy is an irl ray of #sunshine. https://t.co/NgA4t4jZob,0.0,1.0,0.0,0.0
4,2018-04-05,BBC,"RT @BBCTheOneShow: ..@DIYSOS  are building a gym and community area for the Grenfell community, but @MrNickKnowles needs something specific…",0.0,1.0,0.0,0.0
5,2018-04-05,BBC,"RT @bbcmusic: STOP EVERYTHING: @GaryBarlow is coming to Sounds Like Friday Night ?? 
Don't miss it: 7.30pm, Friday, @BBCOne ?#SLFN https://…",0.118,0.724,0.159,0.0028
6,2018-04-05,BBC,"RT @BBCOne: You took your sweet time. 

#Poldark #sunshine https://t.co/Ep33Zt5YZi",0.0,0.75,0.25,0.4588
7,2018-04-05,BBC,"It's time society stopped judging black women by their hair, British-Somali artist @blackpowerpufff says.… https://t.co/lRmAfxmefR",0.119,0.881,0.0,-0.2263
8,2018-04-05,BBC,? A biography about conjoined twins from Siam who became US slave-owners + 9 other books to bury your nose in this… https://t.co/1UfP6LTH0i,0.0,1.0,0.0,0.0
9,2018-04-05,BBC,RT @BBCSport: Scotland's Hannah Miley takes the silver in the women's 400m individual medley! ? https://t.co/GrailyYrno #bbcgoldcoast https…,0.0,1.0,0.0,0.0
10,2018-04-05,BBC,?? A trio of baby red squirrels have been rescued in Perthshire.  https://t.co/d2r7c8EyUh,0.0,0.797,0.203,0.4215
11,2018-04-05,BBC,"RT @BBCBreakfast: Some GOOD plastic news!
Marine conservationists say the 5p carrier bag charge has reduced the amount of single use plasti…",0.0,0.843,0.157,0.6027
12,2018-04-05,BBC,"RT @BBCRadio2: What happens when you put one harp, three fiddles, and the cream of the folk world in one room?

We brought together @elizac…",0.0,1.0,0.0,0.0
13,2018-04-05,BBC,"RT @BBCRadio4: Is @Youtube a form of folk art?
The #Unpopped podcast looks at the rise and dominance of YouTube and YouTubers with @sophieh…",0.0,0.924,0.076,0.2023
14,2018-04-05,BBC,"RT @bbcasiannetwork: ?It's your last chance to apply for placements at @BBCR1 @1Xtra and Asian Network in our Where It Begins Scheme! ?
Wha…",0.0,0.906,0.094,0.3164
15,2018-04-05,BBC,"RT @bbcthree: ""Let me guess, your name is Singh?"" and other things not to say to Sikh people. https://t.co/tZLfWssxez",0.0,1.0,0.0,0.0
16,2018-04-05,BBC,"RT @BBCSport: It was a tough day in the office for this Cypriot gymnast.

#bbcgoldcoast #GC2018 https://t.co/Xmt9bgMyeQ",0.091,0.909,0.0,-0.128
17,2018-04-05,BBC,"RT @bbcweather: *Public service announcement*
Ladies and gentlemen DO NOT be alarmed! I've checked through our 'big book of weather', and I…",0.114,0.886,0.0,-0.4003
18,2018-04-05,BBC,"? No kidding, goat pilates is a real thing. https://t.co/kmuOKupPwB",0.229,0.625,0.146,-0.2023
